Industry,City,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Public Administration and Defence,Alberta,81.14133538,83.95394273,86.34358508,83.6371508,86.35834538,85.86928875,78.91697318,75.4625852,71.17773575,72.6103625,72.80340773,71.04849593,64.78790115,62.4096605,64.1804843,65.69431713,73.08360335,71.45192283,70.28035683,83.58651728,82.48988373,86.5071452,87.78369115,86.70703438,88.00458068,90.84331385,89.64146373,87.96464117
Services Producing Industries,Alberta,855.356618,868.8599705,897.1529268,914.42329,925.0840233,923.9700248,929.3614733,957.5207018,981.7757258,1011.011073,1048.534413,1092.72586,1125.171203,1155.79421,1186.40911,1212.538433,1255.895465,1277.95086,1323.918965,1380.810635,1423.580685,1467.5655,1489.266623,1490.15358,1525.62412,1549.833425,1583.23302,1615.734463
All Industries,Alberta,1188.016668,1222.825,1251.008335,1275.583335,1283.525,1280.241668,1289.558333,1325.225,1365.616665,1404.75,1452.75,1509.266668,1544.383333,1584.1,1627.908333,1672.774998,1727.758333,1776.066668,1821.400003,1913.316668,1991.45,2052.675,2029.841668,2024.616665,2100.225,2172.883333,2225.141668,2273.64925
Transportation and Warehousing,Alberta,65.96429373,64.90359323,67.75955858,67.01387228,61.05853808,60.04264428,61.79287288,68.42486195,71.31531823,79.18329425,83.65825743,85.4728068,90.61457068,97.50646668,98.86984285,99.41092808,100.4316739,100.1308506,108.6943953,107.7567855,107.665958,108.2347218,105.9196865,107.6557385,110.792731,117.247771,119.682497,129.7182418
Wholesale and Retail Trade,Alberta,192.3602425,198.003998,203.3849648,205.7165548,208.8174948,201.4611795,197.3802118,209.1200763,213.6475613,215.7371145,213.8196175,223.5847678,239.5755163,250.9817933,256.0076233,251.2108618,264.2320395,271.421678,285.0076,291.099752,295.7985873,320.402956,318.0255603,311.1979955,320.2140968,322.5414338,325.9149133,320.5326278
Business Services,Vancouver,70.56966555,80.47403508,80.4683633,86.30717348,90.27742385,86.40823178,94.94992063,101.4029483,101.5007748,111.2352678,111.0055343,123.830447,127.0810153,131.8358948,138.0829423,135.240047,140.8686423,145.302008,159.918424,160.9759033,165.8550118,167.872842,167.2933585,163.0890735,169.756863,165.587947,177.4121948,177.312171
Construction,Vancouver,40.9701596,48.45146765,55.42312298,64.62473513,58.06459273,55.25504083,52.75863708,68.41240968,62.8203849,59.91344093,59.20531948,59.02811673,53.91931508,53.15360258,54.1690309,58.0385725,55.64881385,72.43839415,78.70128703,82.1580077,90.17172855,103.3938195,99.23494795,92.8997574,101.6327553,100.3134856,103.8904491,104.1634278
"Finance, Insurance and Real Estate",Vancouver,57.90208238,64.85942218,67.2891122,63.9302266,63.39187875,72.2544616,73.1065999,76.5613622,72.4747345,77.48466473,80.69875788,73.84217143,77.8943911,78.0611225,77.18222343,81.50004768,84.1393584,85.61064195,77.46074338,84.34857845,87.77726785,93.1662764,84.68574223,87.58060173,91.80618125,90.4509463,91.36844295,92.91747563
Goods Producing Industries,Vancouver,142.7387483,148.665782,160.9730863,178.3998045,174.4591595,162.2442343,160.7908893,179.5631738,181.006387,182.5211405,183.7529805,177.4176188,170.2336338,185.1877633,176.408094,180.546343,190.3083765,202.3519193,203.9932563,204.625033,217.2409445,223.3566155,204.5050445,198.6705318,208.7262053,214.3153915,211.4920043,218.7509283
Information and Cultural Industries,Vancouver,28.47620473,27.3507148,26.11449695,26.56831303,26.49525053,25.6312766,26.2556543,26.53678155,33.01145495,28.21129838,34.48936945,37.16180835,34.554241,41.01295535,43.08670773,41.0144367,35.13695858,36.2470572,37.44316908,39.54039273,43.05813305,38.39030003,35.61853905,38.45416345,35.19641633,34.62907973,36.8944862,34.57499523
