Country,Canada,Alberta,British Columbia, Manitoba ,New Brunswick,Newfoundland,Nova Scotia,Northwest Territories,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
Moldova,4545366,78722,84150,0,0,0,9437,0,1738450,30292,2163185,441130,0
Equatorial Guinea,4461116,83490,318577,10990,0,14258,207961,0,2604747,0,1221093,0,0
Zimbabwe,4330115,861738,461503,541881,0,0,0,0,1085661,0,293968,1085364,0
Bosnia-Hercegovina,3862675,67167,206868,148118,18364,0,16693,0,791434,0,2333103,280928,0
Niger,3525726,9374,30161,6031,0,0,0,0,1827427,0,1540176,112557,0
Turks and Caicos Islands,3275954,95000,57843,0,25485,0,226146,0,1635349,0,1235975,156,0
Burundi,3175234,408607,7695,244781,0,0,0,0,1487224,0,546954,479973,0
Syria,3049928,1443,120417,2349,0,0,14838,0,492536,0,1343921,1074424,0
,2732282,727996,168459,19203,692229,196428,874463,0,4213493,1523529,6303214,58800,0
Montenegro,2422752,0,450211,0,0,0,0,0,1609449,0,363092,0,0
Guam,2147552,140622,102499,0,0,0,757521,0,889375,2671,254864,0,0
Djibouti,1792487,378955,169364,0,0,0,5000,0,782116,0,348952,108100,0
Cape Verde,1756124,0,0,304395,0,0,0,0,404008,0,678363,369358,0
Somalia,1446061,20000,71820,0,0,0,0,0,1211452,0,142789,0,0
Faeroe Islands,1438943,0,111094,0,2235,444495,66578,0,814541,0,0,0,0
American Samoa,1357669,23482,1009911,7167,0,0,15760,0,298449,0,2900,0,0
Christmas Island,1298186,0,576059,54562,0,0,0,0,608008,0,59557,0,0
Anguilla,1190352,7512,129133,0,44738,0,110757,0,719205,0,179007,0,0
Tonga,1129365,0,0,0,0,0,0,0,865690,0,263675,0,0
Antartica,1112649,665362,0,0,0,0,0,0,447287,0,0,0,0
Eritrea,1073932,121216,98970,0,0,0,0,0,841468,0,12278,0,0
Saint Helena,1073464,0,33487,0,0,0,0,0,730963,0,256150,52864,0
Gambia,1020525,26200,221581,5625,0,0,172250,0,393467,0,201402,0,0
Comoros,855956,90001,0,19601,0,0,0,0,176777,0,569577,0,0
Vanuatu (New Hebrides),401100,0,82339,86790,0,0,0,0,202123,0,29848,0,0
Lesotho,348551,0,279150,0,0,0,2100,0,43501,0,23800,0,0
Samoa (Western),299519,15417,120302,0,0,0,0,0,29528,0,134272,0,0
Solomon Islands,289346,30090,48226,0,0,0,0,0,28989,0,182041,0,0
Andorra,286805,0,9654,269654,0,0,0,0,7497,0,0,0,0
Niue,267610,220104,0,0,0,0,0,0,47506,0,0,0,0
,255353,727996,168459,19203,692229,196428,874463,0,4213493,1523529,6303214,58800,0
British Indian Ocean Territories,251981,0,0,0,0,0,0,0,9368,0,242613,0,0
Nauru,208851,2407,206444,0,0,0,0,0,0,0,0,0,0
Gibraltar,179270,29856,10244,0,0,0,0,0,65257,0,73913,0,0
East Timor,171331,27285,34646,0,0,0,0,0,22900,0,53461,33039,0
Falkland Islands,170496,0,3805,0,0,0,0,0,0,0,166691,0,0
Montserrat,166771,0,3987,0,32330,0,46611,0,62431,0,21312,100,0
Cocos (Keeling) Islands,163298,2195,0,0,0,0,0,0,0,0,0,161103,0
Bhutan,152867,0,2343,0,52928,0,0,0,97596,0,0,0,0
Cook Islands,149963,0,0,59166,0,0,0,0,0,0,90797,0,0
Sao Tomé-Principe,142115,0,0,0,0,0,0,0,142115,0,0,0,0
"Korea, North",93989,0,0,91586,0,0,0,0,2403,0,0,0,0
Wallis and Futuna Islands,90991,8646,32989,0,0,0,0,0,48563,0,793,0,0
French Southern Territories,82386,0,0,0,0,0,0,0,24646,0,57740,0,0
High Seas,79120,79120,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,42874,9231,0,0,0,0,0,0,14974,0,18669,0,0
Norfolk Island,24906,0,0,0,0,0,0,0,24906,0,0,0,0
Central African Republic,24597,0,0,0,0,0,0,0,3312,0,21285,0,0
Pitcairn Island,23871,21483,0,0,0,0,0,0,2388,0,0,0,0
Heard and McDonald Island,12692,0,0,0,0,0,0,0,0,0,12692,0,0
Kiribati,7950,0,0,0,0,0,0,0,7950,0,0,0,0
Bouvet Island,1,0,1,0,0,0,0,0,0,0,0,0,0
